@relation car-weka.filters.unsupervised.instance.RemovePercentage-P15.0

@attribute buying {vhigh,high,med,low}
@attribute maint {vhigh,high,med,low}
@attribute doors {2.0,3.0,4.0,5more}
@attribute persons {2.0,4.0,more}
@attribute log_boot {small,med,big}
@attribute safety {low,med,high}
@attribute class {unacc,acc,vgood,good}

@data
low,low,2.0,more,small,low,unacc
low,low,2.0,more,small,med,unacc
low,low,2.0,more,small,high,unacc
low,low,2.0,more,med,low,unacc
low,low,2.0,more,med,med,acc
low,low,2.0,more,med,high,good
low,low,2.0,more,big,low,unacc
low,low,2.0,more,big,med,good
low,low,2.0,more,big,high,vgood
low,low,3.0,2.0,small,low,unacc
low,low,3.0,2.0,small,med,unacc
low,low,3.0,2.0,small,high,unacc
low,low,3.0,2.0,med,low,unacc
low,low,3.0,2.0,med,med,unacc
low,low,3.0,2.0,med,high,unacc
low,low,3.0,2.0,big,low,unacc
low,low,3.0,2.0,big,med,unacc
low,low,3.0,2.0,big,high,unacc
low,low,3.0,4.0,small,low,unacc
low,low,3.0,4.0,small,med,acc
low,low,3.0,4.0,small,high,good
high,low,5more,2.0,small,med,unacc
high,low,5more,2.0,small,high,unacc
high,low,5more,2.0,med,low,unacc
high,low,5more,2.0,med,med,unacc
high,low,5more,2.0,med,high,unacc
high,low,5more,2.0,big,low,unacc
high,low,5more,2.0,big,med,unacc
high,low,5more,2.0,big,high,unacc
high,low,5more,4.0,small,low,unacc
high,low,5more,4.0,small,med,unacc
high,low,5more,4.0,small,high,acc
high,low,5more,4.0,med,low,unacc
high,low,5more,4.0,med,med,acc
high,low,5more,4.0,med,high,acc
high,low,5more,4.0,big,low,unacc
high,low,5more,4.0,big,med,acc
high,low,5more,4.0,big,high,acc
high,low,5more,more,small,low,unacc
high,low,5more,more,small,med,unacc
high,low,5more,more,small,high,acc
high,low,5more,more,med,low,unacc
high,low,5more,more,med,med,acc
high,low,5more,more,med,high,acc
high,low,5more,more,big,low,unacc
high,low,5more,more,big,med,acc
high,low,5more,more,big,high,acc
med,vhigh,2.0,2.0,small,low,unacc
med,vhigh,2.0,2.0,small,med,unacc
med,vhigh,2.0,2.0,small,high,unacc
med,vhigh,2.0,2.0,med,low,unacc
med,vhigh,2.0,2.0,med,med,unacc
med,vhigh,2.0,2.0,med,high,unacc
med,vhigh,2.0,2.0,big,low,unacc
med,vhigh,2.0,2.0,big,med,unacc
med,vhigh,2.0,2.0,big,high,unacc
med,vhigh,2.0,4.0,small,low,unacc
med,vhigh,2.0,4.0,small,med,unacc
med,vhigh,2.0,4.0,small,high,acc
med,vhigh,2.0,4.0,med,low,unacc
med,vhigh,2.0,4.0,med,med,unacc
med,vhigh,2.0,4.0,med,high,acc
med,vhigh,2.0,4.0,big,low,unacc
med,vhigh,2.0,4.0,big,med,acc
med,vhigh,2.0,4.0,big,high,acc
med,vhigh,2.0,more,small,low,unacc
med,vhigh,2.0,more,small,med,unacc
med,vhigh,2.0,more,small,high,unacc
med,vhigh,2.0,more,med,low,unacc
med,vhigh,2.0,more,med,med,unacc
med,vhigh,2.0,more,med,high,acc
med,vhigh,2.0,more,big,low,unacc
vhigh,med,2.0,more,med,med,unacc
vhigh,med,2.0,more,med,high,acc
vhigh,med,2.0,more,big,low,unacc
vhigh,med,2.0,more,big,med,acc
vhigh,med,2.0,more,big,high,acc
vhigh,med,3.0,2.0,small,low,unacc
vhigh,med,3.0,2.0,small,med,unacc
vhigh,med,3.0,2.0,small,high,unacc
vhigh,med,3.0,2.0,med,low,unacc
vhigh,med,3.0,2.0,med,med,unacc
vhigh,med,3.0,2.0,med,high,unacc
vhigh,med,3.0,2.0,big,low,unacc
vhigh,med,3.0,2.0,big,med,unacc
vhigh,med,3.0,2.0,big,high,unacc
vhigh,med,3.0,4.0,small,low,unacc
vhigh,med,3.0,4.0,small,med,unacc
vhigh,med,3.0,4.0,small,high,acc
vhigh,med,3.0,4.0,med,low,unacc
vhigh,med,3.0,4.0,med,med,unacc
vhigh,med,3.0,4.0,med,high,acc
vhigh,med,3.0,4.0,big,low,unacc
vhigh,med,3.0,4.0,big,med,acc
vhigh,med,3.0,4.0,big,high,acc
vhigh,med,3.0,more,small,low,unacc
vhigh,med,3.0,more,small,med,unacc
vhigh,med,3.0,more,small,high,acc
vhigh,med,3.0,more,med,low,unacc
vhigh,med,3.0,more,med,med,acc
vhigh,med,3.0,more,med,high,acc
vhigh,med,3.0,more,big,low,unacc
vhigh,med,3.0,more,big,med,acc
vhigh,med,3.0,more,big,high,acc
vhigh,med,4.0,2.0,small,low,unacc
vhigh,med,4.0,2.0,small,med,unacc
vhigh,med,4.0,2.0,small,high,unacc
vhigh,med,4.0,2.0,med,low,unacc
vhigh,med,4.0,2.0,med,med,unacc
vhigh,med,4.0,2.0,med,high,unacc
vhigh,med,4.0,2.0,big,low,unacc
vhigh,med,4.0,2.0,big,med,unacc
vhigh,med,4.0,2.0,big,high,unacc
vhigh,med,4.0,4.0,small,low,unacc
vhigh,med,4.0,4.0,small,med,unacc
vhigh,med,4.0,4.0,small,high,acc
vhigh,med,4.0,4.0,med,low,unacc
vhigh,med,4.0,4.0,med,med,acc
vhigh,med,4.0,4.0,med,high,acc
vhigh,med,4.0,4.0,big,low,unacc
vhigh,med,4.0,4.0,big,med,acc
vhigh,med,4.0,4.0,big,high,acc
vhigh,med,4.0,more,small,low,unacc
low,high,5more,2.0,med,high,unacc
low,high,5more,2.0,big,low,unacc
low,high,5more,2.0,big,med,unacc
low,high,5more,2.0,big,high,unacc
low,high,5more,4.0,small,low,unacc
low,high,5more,4.0,small,med,acc
low,high,5more,4.0,small,high,acc
low,high,5more,4.0,med,low,unacc
low,high,5more,4.0,med,med,acc
low,high,5more,4.0,med,high,vgood
low,high,5more,4.0,big,low,unacc
low,high,5more,4.0,big,med,acc
low,high,5more,4.0,big,high,vgood
low,high,5more,more,small,low,unacc
low,high,5more,more,small,med,acc
low,high,5more,more,small,high,acc
low,high,5more,more,med,low,unacc
low,high,5more,more,med,med,acc
low,high,5more,more,med,high,vgood
low,high,5more,more,big,low,unacc
low,high,5more,more,big,med,acc
low,high,5more,more,big,high,vgood
low,med,2.0,2.0,small,low,unacc
low,med,2.0,2.0,small,med,unacc
low,med,2.0,2.0,small,high,unacc
low,med,2.0,2.0,med,low,unacc
low,med,2.0,2.0,med,med,unacc
low,med,2.0,2.0,med,high,unacc
low,med,2.0,2.0,big,low,unacc
low,med,2.0,2.0,big,med,unacc
low,med,2.0,2.0,big,high,unacc
med,high,2.0,more,small,low,unacc
med,high,2.0,more,small,med,unacc
med,high,2.0,more,small,high,unacc
med,high,2.0,more,med,low,unacc
med,high,2.0,more,med,med,unacc
med,high,2.0,more,med,high,acc
med,high,2.0,more,big,low,unacc
med,high,2.0,more,big,med,acc
med,high,2.0,more,big,high,acc
med,high,3.0,2.0,small,low,unacc
med,high,3.0,2.0,small,med,unacc
med,high,3.0,2.0,small,high,unacc
med,high,3.0,2.0,med,low,unacc
med,high,3.0,2.0,med,med,unacc
med,high,3.0,2.0,med,high,unacc
med,high,3.0,2.0,big,low,unacc
med,high,3.0,2.0,big,med,unacc
med,high,3.0,2.0,big,high,unacc
med,high,3.0,4.0,small,low,unacc
med,high,3.0,4.0,small,med,unacc
med,high,3.0,4.0,small,high,acc
med,high,3.0,4.0,med,low,unacc
med,high,3.0,4.0,med,med,unacc
med,high,3.0,4.0,med,high,acc
med,high,3.0,4.0,big,low,unacc
med,high,3.0,4.0,big,med,acc
med,high,3.0,4.0,big,high,acc
med,high,3.0,more,small,low,unacc
med,high,3.0,more,small,med,unacc
med,high,3.0,more,small,high,acc
med,high,3.0,more,med,low,unacc
med,high,3.0,more,med,med,acc
med,high,3.0,more,med,high,acc
med,high,3.0,more,big,low,unacc
med,high,3.0,more,big,med,acc
med,high,3.0,more,big,high,acc
med,high,4.0,2.0,small,low,unacc
med,high,4.0,2.0,small,med,unacc
med,high,4.0,2.0,small,high,unacc
med,high,4.0,2.0,med,low,unacc
med,high,4.0,2.0,med,med,unacc
med,high,4.0,2.0,med,high,unacc
med,high,4.0,2.0,big,low,unacc
med,high,4.0,2.0,big,med,unacc
med,high,4.0,2.0,big,high,unacc
med,high,4.0,4.0,small,low,unacc
med,high,4.0,4.0,small,med,unacc
med,high,4.0,4.0,small,high,acc
med,high,4.0,4.0,med,low,unacc
med,high,4.0,4.0,med,med,acc
med,high,4.0,4.0,med,high,acc
vhigh,vhigh,3.0,4.0,small,high,unacc
vhigh,vhigh,3.0,4.0,med,low,unacc
vhigh,vhigh,3.0,4.0,med,med,unacc
vhigh,vhigh,3.0,4.0,med,high,unacc
vhigh,vhigh,3.0,4.0,big,low,unacc
vhigh,vhigh,3.0,4.0,big,med,unacc
vhigh,vhigh,3.0,4.0,big,high,unacc
vhigh,vhigh,3.0,more,small,low,unacc
vhigh,vhigh,3.0,more,small,med,unacc
vhigh,vhigh,3.0,more,small,high,unacc
vhigh,vhigh,3.0,more,med,low,unacc
vhigh,vhigh,3.0,more,med,med,unacc
vhigh,vhigh,3.0,more,med,high,unacc
vhigh,vhigh,3.0,more,big,low,unacc
vhigh,vhigh,3.0,more,big,med,unacc
vhigh,vhigh,3.0,more,big,high,unacc
vhigh,vhigh,4.0,2.0,small,low,unacc
vhigh,vhigh,4.0,2.0,small,med,unacc
vhigh,vhigh,4.0,2.0,small,high,unacc
vhigh,vhigh,4.0,2.0,med,low,unacc
vhigh,vhigh,4.0,2.0,med,med,unacc
vhigh,vhigh,4.0,2.0,med,high,unacc
vhigh,vhigh,4.0,2.0,big,low,unacc
vhigh,vhigh,4.0,2.0,big,med,unacc
vhigh,vhigh,4.0,2.0,big,high,unacc
vhigh,vhigh,4.0,4.0,small,low,unacc
med,low,4.0,more,big,med,good
med,low,4.0,more,big,high,vgood
med,low,5more,2.0,small,low,unacc
med,low,5more,2.0,small,med,unacc
med,low,5more,2.0,small,high,unacc
med,low,5more,2.0,med,low,unacc
med,low,5more,2.0,med,med,unacc
med,low,5more,2.0,med,high,unacc
med,low,5more,2.0,big,low,unacc
med,low,5more,2.0,big,med,unacc
med,low,5more,2.0,big,high,unacc
med,low,5more,4.0,small,low,unacc
med,low,5more,4.0,small,med,acc
med,low,5more,4.0,small,high,good
med,low,5more,4.0,med,low,unacc
med,low,5more,4.0,med,med,good
med,low,5more,4.0,med,high,vgood
med,low,5more,4.0,big,low,unacc
med,low,5more,4.0,big,med,good
med,low,5more,4.0,big,high,vgood
med,low,5more,more,small,low,unacc
med,low,5more,more,small,med,acc
med,low,5more,more,small,high,good
med,low,5more,more,med,low,unacc
med,low,5more,more,med,med,good
med,low,5more,more,med,high,vgood
med,low,5more,more,big,low,unacc
med,low,5more,more,big,med,good
med,low,5more,more,big,high,vgood
low,vhigh,2.0,2.0,small,low,unacc
low,vhigh,2.0,2.0,small,med,unacc
